2025-03-04 12:12:08.7129 | Microsoft.Hosting.Lifetime | INFO | Now listening on: https://localhost:7222 | 
2025-03-04 22:14:41.8936 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request starting HTTP/2 GET https://localhost:7222/Swagger/index.js - - | 
2025-03-04 22:14:41.8936 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request starting HTTP/2 GET https://localhost:7222/Swagger/swagger-ui.css - - | 
2025-03-04 22:14:41.8936 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request starting HTTP/2 GET https://localhost:7222/Swagger/index.css - - | 
2025-03-04 22:14:41.8936 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request starting HTTP/2 GET https://localhost:7222/Swagger/swagger-ui-standalone-preset.js - - | 
2025-03-04 22:14:41.8936 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request finished HTTP/2 GET https://localhost:7222/Swagger/index.js - - - 200 - application/javascript;charset=utf-8 9.8840ms | 
2025-03-04 22:14:41.9095 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request starting HTTP/2 GET https://localhost:7222/Swagger/swagger-ui-bundle.js - - | 
2025-03-04 22:14:41.9095 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request finished HTTP/2 GET https://localhost:7222/_framework/aspnetcore-browser-refresh.js - - - 200 12006 application/javascript;+charset=utf-8 29.3738ms | 
2025-03-04 22:14:41.9310 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request starting HTTP/2 GET https://localhost:7222/_vs/browserLink - - | 
2025-03-04 22:14:41.9310 | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | INFO | The file /swagger-ui-bundle.js was not modified | 
2025-03-04 22:14:41.9310 | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | INFO | The file /index.css was not modified | 
2025-03-04 22:14:41.9310 | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | INFO | The file /swagger-ui.css was not modified | 
2025-03-04 22:14:41.9310 | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | INFO | The file /swagger-ui-standalone-preset.js was not modified | 
2025-03-04 22:14:41.9381 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request finished HTTP/2 GET https://localhost:7222/Swagger/swagger-ui-bundle.js - - - 304 - application/javascript 28.5092ms | 
2025-03-04 22:14:41.9381 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request finished HTTP/2 GET https://localhost:7222/Swagger/index.css - - - 304 - text/css 43.5688ms | 
2025-03-04 22:14:41.9381 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request finished HTTP/2 GET https://localhost:7222/Swagger/swagger-ui.css - - - 304 - text/css 44.7385ms | 
2025-03-04 22:14:41.9381 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request finished HTTP/2 GET https://localhost:7222/Swagger/swagger-ui-standalone-preset.js - - - 304 - application/javascript 54.1647ms | 
2025-03-04 22:14:42.9618 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request finished HTTP/2 GET https://localhost:7222/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 1030.7811ms | 
2025-03-04 22:14:43.5044 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request starting HTTP/2 GET https://localhost:7222/Swagger/v1/swagger.json - - | 
2025-03-04 22:14:43.5337 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request finished HTTP/2 GET https://localhost:7222/Swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 29.2720ms | 
2025-03-04 22:15:02.6306 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request starting HTTP/2 POST https://localhost:7222/HelloGreeting/greet application/json 51 | 
2025-03-04 22:15:02.6808 | Microsoft.AspNetCore.Routing.EndpointMiddleware | INFO | Executing endpoint 'HelloGreetingApplication.Controllers.HelloGreetingController.Post (HelloGreetingApplication)' | 
2025-03-04 22:15:02.8938 | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | INFO | Route matched with {action = "Post", controller = "HelloGreeting"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.IActionResult Post(ModelLayer.Model.UserModel) on controller HelloGreetingApplication.Controllers.HelloGreetingController (HelloGreetingApplication). | 
2025-03-04 22:15:03.5185 | HelloGreetingApplication.Controllers.HelloGreetingController | INFO | POST request received | 
2025-03-04 22:15:03.5499 | Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor | INFO | Executing OkObjectResult, writing value of type 'ModelLayer.Model.ResponseModel`1[[System.String, System.Private.CoreLib, Version=6.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]'. | 
2025-03-04 22:15:03.5839 | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | INFO | Executed action HelloGreetingApplication.Controllers.HelloGreetingController.Post (HelloGreetingApplication) in 664.8165ms | 
2025-03-04 22:15:03.5839 | Microsoft.AspNetCore.Routing.EndpointMiddleware | INFO | Executed endpoint 'HelloGreetingApplication.Controllers.HelloGreetingController.Post (HelloGreetingApplication)' | 
2025-03-04 22:15:03.5839 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request finished HTTP/2 POST https://localhost:7222/HelloGreeting/greet application/json 51 - 200 - application/json;+charset=utf-8 956.9738ms | 
2025-03-04 22:16:00.4360 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request starting HTTP/2 POST https://localhost:7222/HelloGreeting application/json 42 | 
2025-03-04 22:16:00.4463 | Microsoft.AspNetCore.Routing.EndpointMiddleware | INFO | Executing endpoint 'HelloGreetingApplication.Controllers.HelloGreetingController.Post (HelloGreetingApplication)' | 
2025-03-04 22:16:00.4548 | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | INFO | Route matched with {action = "Post", controller = "HelloGreeting"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.IActionResult Post(ModelLayer.Model.RequestModel) on controller HelloGreetingApplication.Controllers.HelloGreetingController (HelloGreetingApplication). | 
2025-03-04 22:16:00.4548 | HelloGreetingApplication.Controllers.HelloGreetingController | INFO | POST request received | 
2025-03-04 22:16:00.4548 | Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor | INFO | Executing OkObjectResult, writing value of type 'ModelLayer.Model.ResponseModel`1[[System.String, System.Private.CoreLib, Version=6.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]'. | 
2025-03-04 22:16:00.4548 | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | INFO | Executed action HelloGreetingApplication.Controllers.HelloGreetingController.Post (HelloGreetingApplication) in 9.2108ms | 
2025-03-04 22:16:00.4548 | Microsoft.AspNetCore.Routing.EndpointMiddleware | INFO | Executed endpoint 'HelloGreetingApplication.Controllers.HelloGreetingController.Post (HelloGreetingApplication)' | 
2025-03-04 22:16:00.4548 | Microsoft.AspNetCore.Hosting.Diagnostics | INFO | Request finished HTTP/2 POST https://localhost:7222/HelloGreeting application/json 42 - 200 - application/json;+charset=utf-8 32.6026ms | 
